Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,T_K
2.54226025487858e-10,1.50136105044101,9.41767423462148e-12,1.44673104748308,-0.530297138251046,389.296941675084,70.6218789081262,0.172036532790658,0.591096945516581,0.158591887990669,1.03012294029867,283.25
1.30457745172821e-10,1.76478441078395,1.06788660992578e-11,1.56822620971349,-0.594414308089227,395.280472500023,77.2994105812644,0.166410506602378,0.818132042454796,0.200806981892875,1.37086717909035,283.25
1.03570550692231e-10,1.25845742840345,9.68486198701683e-12,1.0851183602889,-0.593464308410322,395.796238193706,76.9439022246108,0.159731585953427,0.74353051900543,0.238292623387408,1.50451033426313,283.25
8.19750018467584e-11,1.51197877329582,1.1641644693972e-11,1.18373932630881,-0.61374031934061,389.587216925675,72.2139650755419,0.165570104480389,0.875773293773889,0.133875120486741,1.21541511695442,283.25
9.9407684550729e-11,1.4054357021393,9.08646012873295e-12,1.00090916804681,-0.572232751054701,397.59531540576,76.5194979877306,0.148743403257444,0.661172078762166,0.212006619149803,1.40347440140328,283.25
2.56649898104911e-10,1.21095088042608,8.46071299203936e-12,1.00680531945547,-0.584998456460849,394.057581757894,75.5704198808848,0.149742742963274,0.622696406016753,0.220985978463065,1.05581464906126,283.25
1.19491588410916e-10,1.84343411733698,8.53100908204659e-12,2.14344954935913,-0.561147363057271,390.029415730349,72.883525433398,0.172651904821077,0.571428129538489,0.076290181159244,1.34025534891731,283.25
2.40931910712115e-10,1.23009674392657,1.22645358153375e-11,1.4532180377072,-0.581141389294144,397.767309976396,77.1484444378848,0.169364271246265,0.665102832391099,0.231411634521745,1.21376503279022,283.25
2.4744923313779e-10,1.43299281863768,1.01599663864566e-11,1.03283212181014,-0.587959640111373,392.02245929908,78.4653951951867,0.144208189370287,0.676440716247213,0.156374270611634,1.00126376442325,283.25
1.34109097868289e-10,1.08180237272675,1.01545650050652e-11,1.2530716573961,-0.606303401850268,391.816685725142,74.0250726020126,0.146084905427254,0.630945890353483,0.120099100666124,1.23628190698333,283.25
1.24727838726872e-10,1.67747808603199,1.23659040170147e-11,1.02036154363924,-0.566259915341131,391.377176325682,73.6967726960867,0.173519522223253,0.672170981375905,0.1525443396607,1.16752470432528,283.25
1.08014838001847e-10,1.45396767165628,1.04693780337548e-11,1.24860697843276,-0.59304180885654,390.384142664347,71.5189197882262,0.148278127268342,0.268121162030642,0.0575236518388339,1.60155045972045,283.25
1.15539809254527e-10,1.674474469332,8.97125080272645e-12,1.03504779178367,-0.56981761595106,395.682286487616,78.5545347326793,0.144745615173977,0.791834847689562,0.218030051094266,1.23672456137692,283.25
8.56112063354741e-11,1.40114243051493,1.06675951425394e-11,1.45770068420403,-0.611312486157056,393.127102712685,72.5399317137634,0.16478280306905,0.808588026041771,0.192510419885194,1.31945607765871,283.25
1.72470246666347e-10,1.27888307157902,9.97698311875761e-12,1.84058124254158,-0.595170175389931,390.136681849291,69.2766053792595,0.145656567085293,0.547543524203039,0.114096476426481,1.19853254889974,283.25
1.5997440681482e-10,1.44428340073434,8.13484269117574e-12,1.67049264666267,-0.547408045480159,386.666982897099,73.8393488997748,0.165483239565618,0.611338665471811,0.0644646072148026,1.28917721499797,283.25
1.57125356293997e-10,1.28551294162321,9.03407621849606e-12,1.42571019465031,-0.578994175469766,385.943801001786,72.7110530421926,0.168988827396269,0.47847610989882,0.116487112714108,1.14420846856074,283.25
1.85011250519077e-10,1.02007196365502,1.05007697481819e-11,1.21075540023401,-0.589834663161381,391.184423991624,75.6644247104707,0.154315063574203,0.493523761413401,0.0853833366970327,1.24060771269039,283.25
1.30720949629264e-10,1.23265820986376,1.12801481523902e-11,1.01282537066373,-0.574607952175664,389.570213710642,75.3422399273026,0.146554667998774,0.517664720846667,0.0693158627646737,1.24613635972664,283.25
2.26360920386361e-10,1.37576669756335,1.02635813128024e-11,1.99576450673197,-0.539758148507517,385.392744225931,69.6853967826033,0.187665658872994,0.43126833806304,0.051536294603664,0.946659429965343,283.25
9.97013371017805e-11,1.33852812011068,9.40848626527718e-12,1.29180734946112,-0.578540565640254,392.003014590168,73.1717049699664,0.138851130783713,0.480176735940048,0.234142421914015,1.54017990309396,283.25
1.80598742950555e-10,1.43886632880424,7.32837074358985e-12,1.47397792138157,-0.569944712283225,388.30438970885,76.6871883875563,0.154506788410942,0.556546944350387,0.109459596078462,1.37709874120961,283.25
1.61958404845689e-10,1.73047319746886,8.37532883700764e-12,2.18974121188031,-0.548400186826085,390.563684145052,72.8620646371021,0.165935674413182,0.658446913498707,0.0600482200153584,1.28751939950716,283.25
1.40237281189335e-10,1.37362772107075,8.35442194331295e-12,1.65276301602162,-0.548826107104158,387.732475808891,74.0742649550527,0.165853622664205,0.576000855701101,0.0640722234197728,1.2650007753318,283.25
2.0862789972962e-10,1.30181019983302,1.00770731471365e-11,1.00096657462429,-0.585093341233186,392.241341914857,77.43443859109,0.155428357332657,0.769873458863109,0.176541510869953,1.22200871737568,283.25
2.40243055644994e-10,1.43014151316379,1.01948464288808e-11,1.99932409231454,-0.538000476055166,385.391684366493,69.6513909018154,0.184163002511535,0.429552898273903,0.0530401232184045,0.949019116334912,283.25
1.63131118269281e-10,1.37950534307146,1.08292398643753e-11,1.5573347334946,-0.603506370624423,390.352431238541,75.9402519748543,0.14640660693996,0.584545011175255,0.195726357804922,1.3699377908509,283.25
1.28969341308626e-10,1.38907970944281,8.5736096004038e-12,2.33653426656489,-0.56581137543601,386.776124530876,69.2826102205299,0.178494175231179,0.573236873052074,0.0549802210238366,1.27630770902902,283.25
1.57667388017331e-10,1.64986769487776,1.14231047616724e-11,1.00716127395508,-0.571827834092987,390.226033326736,75.416763105435,0.143129276887958,0.380353628827264,0.0932898945114931,1.37786600297207,283.25
1.30255182642239e-10,1.29027080051315,9.25901217113981e-12,1.89937658199302,-0.536550160593338,387.97641668822,74.389172302859,0.163358509702818,0.575847955410303,0.0638534558314592,1.18639329623727,283.25
1.31668108737756e-10,1.75724652520411,1.08286618654799e-11,1.48177451071058,-0.592425256067245,395.089311088372,77.370148450112,0.167333581352157,0.810936557102371,0.210072767039337,1.3153805027701,283.25
2.3605161531597e-10,1.34567524794993,1.09752002927531e-11,1.00184575432506,-0.572391606387665,392.301817478516,78.1921335070385,0.143729970828242,0.810129627804802,0.175155976249157,1.06635831554252,283.25
2.40257965220194e-10,1.35085000690033,8.73981535805671e-12,1.01603037444873,-0.601643767940799,394.97956774701,74.7823813708419,0.147370911455375,0.47847320536665,0.183151152011326,1.38341865322391,283.25
