Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,A,n
1.18692399539809e-10,1.13678270181522,7.73970699825588e-12,1.05131143516064,-0.561790727902313,390.605953047851,74.2965003994587,0.158512879086461,0.534514248771048,0.0797652847741923,0.991290590904784,2.8270780682485,0.0483500583908603
1.10829400483909e-10,1.15320695389442,7.8508598914285e-12,1.06352443444872,-0.561423623484614,390.800656690457,74.1518346536348,0.157977466408411,0.550005250560994,0.0761801973010448,1.01593567352865,2.7573331560048,0.0439744489772863
1.15276044574955e-10,1.16024913504236,7.92487750256531e-12,1.07407536910056,-0.56511731624534,390.441052940102,74.1520461404333,0.158216554553479,0.56043912741807,0.0835532310216097,1.01267129107225,2.81842047473796,0.0442614334100245
1.05730055328304e-10,1.11632965534934,8.07932171989915e-12,1.05818215086374,-0.569410085861594,390.244065647019,73.7530765142015,0.154987033135365,0.52559144813753,0.0913776302553678,0.9939816976994,2.70628804289735,0.0533608213835537
1.02460129305497e-10,1.14870601942554,8.09908961925744e-12,1.06187024183942,-0.568594297629956,390.14392103017,73.9821711840331,0.15386011526527,0.489020776393508,0.0950990030000456,0.976989368925554,2.68312297419579,0.0633526188647538
9.340620225053e-11,1.12181377829387,8.03409377255483e-12,1.07184154774702,-0.568440263755553,390.113219354262,73.8267179006714,0.151951502758429,0.460432596770401,0.105846673711729,0.977419134658606,2.54318979900488,0.0746672075415137
9.75644736760572e-11,1.09515204646507,8.21330833789418e-12,1.08039413828248,-0.568261564105626,390.065819009252,73.6894308046678,0.149782796967379,0.456195777933299,0.116610258621498,0.960582256027489,2.57030221364854,0.0788984498250268
9.80085043067081e-11,1.12879286727366,8.63178757849078e-12,1.06819195695011,-0.565648813176244,389.970872472178,73.9064104460664,0.150126263331997,0.439674436813387,0.11992966005018,0.961961377853225,2.60506414153514,0.0854882898858727
1.04664351634196e-10,1.16996366981642,8.67460526783917e-12,1.06212034110093,-0.569137310699219,390.292357589918,74.2116065397113,0.149707876289461,0.449629172669713,0.119937115242247,0.92824995171139,2.72592759908448,0.0820364024891522
1.16351175090997e-10,1.13145175111694,8.54895583015168e-12,1.0659794163682,-0.560471339411277,390.843364416708,74.6968224348446,0.151307972374472,0.409186424196653,0.119997719927224,0.920815743997621,2.76121718441365,0.0969595702197117
1.36081830693597e-10,1.10634842124117,8.46611934883948e-12,1.0509193933248,-0.557316907625669,392.125562651937,74.3908993563564,0.14635492546093,0.375451916777121,0.125601500802392,0.926468977777384,2.97122454097827,0.111515817619659
1.28249995408764e-10,1.0737692142532,8.60076522684161e-12,1.05175582399015,-0.556429884880422,392.015959269926,74.5283496382789,0.145047459710529,0.35621062212292,0.123567870952814,0.970142716023031,2.83687194427835,0.119348817686629
1.34923794057845e-10,1.07277119210192,8.7794238532984e-12,1.04855062376439,-0.554592331741921,392.07023494633,74.5507452144127,0.140961341123405,0.340978246400673,0.128064702322097,0.914193752178861,2.90190250406548,0.12719922916447
1.51794206616702e-10,1.11557326280511,8.6464208770438e-12,1.05185692117535,-0.553224821073351,392.406891515293,74.4823546332545,0.138131955162999,0.348280973575992,0.116868846753518,0.901211109334404,3.12446579178118,0.118808642307934
